step,perf/dataload_seconds,perf/samples_per_second,perf/update_seconds,system/gpu_memory_gb,train/episodes,train/epoch,train/grad_norm,train/learning_rate,train/loss,train/samples
13800.0,0.003,220.0,0.143,2.87,3000.0,0.66,1.43,5.7e-05,0.392,442000.0
13850.0,0.003,223.0,0.141,2.86,3000.0,0.66,1.427,5.7e-05,0.393,443000.0
13900.0,0.003,216.0,0.145,2.86,3000.0,0.66,1.512,5.7e-05,0.405,445000.0
13950.0,0.003,217.0,0.144,2.86,3000.0,0.67,1.433,5.7e-05,0.389,446000.0
14000.0,0.003,221.0,0.142,2.86,3000.0,0.67,1.471,5.6e-05,0.398,448000.0
14050.0,0.003,222.0,0.141,2.86,3000.0,0.67,1.379,5.6e-05,0.386,450000.0
14100.0,0.003,221.0,0.142,2.86,3000.0,0.67,1.419,5.6e-05,0.389,451000.0
14150.0,0.003,219.0,0.143,2.86,3000.0,0.68,1.441,5.6e-05,0.399,453000.0
14200.0,0.003,219.0,0.144,2.86,3000.0,0.68,1.403,5.5e-05,0.392,454000.0
14250.0,0.002,219.0,0.144,2.86,3000.0,0.68,1.419,5.5e-05,0.395,456000.0
14300.0,0.003,224.0,0.14,2.86,3000.0,0.68,1.434,5.5e-05,0.387,458000.0
14350.0,0.003,222.0,0.141,2.86,3000.0,0.69,1.414,5.5e-05,0.383,459000.0
14400.0,0.003,219.0,0.144,2.86,3000.0,0.69,1.609,5.4e-05,0.39,461000.0
14450.0,0.003,218.0,0.144,2.86,3000.0,0.69,1.432,5.4e-05,0.382,462000.0
14500.0,0.003,221.0,0.142,2.86,3000.0,0.69,1.381,5.4e-05,0.382,464000.0
14550.0,0.003,217.0,0.145,2.86,3000.0,0.7,1.391,5.4e-05,0.387,466000.0
14600.0,0.003,220.0,0.143,2.87,3000.0,0.7,1.539,5.3e-05,0.388,467000.0
14650.0,0.003,219.0,0.143,2.86,3000.0,0.7,1.425,5.3e-05,0.389,469000.0
14700.0,0.003,223.0,0.141,2.86,3000.0,0.7,1.414,5.3e-05,0.395,470000.0
14750.0,0.003,222.0,0.141,2.86,3000.0,0.71,1.415,5.3e-05,0.391,472000.0
14800.0,0.003,221.0,0.142,2.86,3000.0,0.71,1.448,5.2e-05,0.391,474000.0
14850.0,0.003,219.0,0.143,2.86,3000.0,0.71,1.451,5.2e-05,0.384,475000.0
14900.0,0.003,219.0,0.143,2.86,3000.0,0.71,1.334,5.2e-05,0.383,477000.0
14950.0,0.003,221.0,0.142,2.86,3000.0,0.72,1.393,5.2e-05,0.399,478000.0
15000.0,0.003,221.0,0.142,2.86,3000.0,0.72,1.436,5.1e-05,0.375,480000.0
15050.0,0.003,231.0,0.136,2.86,3000.0,0.72,1.467,5.1e-05,0.393,482000.0
15100.0,0.003,221.0,0.142,2.87,3000.0,0.72,1.362,5.1e-05,0.386,483000.0
15150.0,0.003,220.0,0.143,2.86,3000.0,0.72,1.407,5.1e-05,0.386,485000.0
15200.0,0.003,221.0,0.142,2.86,3000.0,0.73,1.422,5e-05,0.374,486000.0
15250.0,0.003,219.0,0.144,2.86,3000.0,0.73,1.417,5e-05,0.383,488000.0
15300.0,0.003,221.0,0.142,2.86,3000.0,0.73,1.447,5e-05,0.381,490000.0
15350.0,0.003,219.0,0.144,2.86,3000.0,0.73,1.522,5e-05,0.39,491000.0
15400.0,0.003,221.0,0.142,2.86,3000.0,0.74,1.402,4.9e-05,0.379,493000.0
15450.0,0.003,221.0,0.142,2.86,3000.0,0.74,1.43,4.9e-05,0.378,494000.0
15500.0,0.003,221.0,0.142,2.86,3000.0,0.74,1.379,4.9e-05,0.396,496000.0
15550.0,0.003,223.0,0.141,2.86,3000.0,0.74,1.386,4.9e-05,0.378,498000.0
15600.0,0.003,220.0,0.143,2.86,3000.0,0.75,1.466,4.8e-05,0.382,499000.0
15650.0,0.003,224.0,0.14,2.86,3000.0,0.75,1.39,4.8e-05,0.384,501000.0
15700.0,0.003,218.0,0.144,2.86,3000.0,0.75,1.399,4.8e-05,0.393,502000.0
15750.0,0.003,221.0,0.142,2.86,3000.0,0.75,1.444,4.8e-05,0.383,504000.0
15800.0,0.003,220.0,0.142,2.86,3000.0,0.76,1.436,4.7e-05,0.379,506000.0
15850.0,0.003,221.0,0.142,2.86,3000.0,0.76,1.423,4.7e-05,0.379,507000.0
15900.0,0.003,215.0,0.146,2.86,3000.0,0.76,1.413,4.7e-05,0.377,509000.0
15950.0,0.003,222.0,0.142,2.86,3000.0,0.76,1.456,4.7e-05,0.378,510000.0
16000.0,0.003,218.0,0.144,2.86,3000.0,0.77,1.438,4.6e-05,0.387,512000.0
16050.0,0.003,221.0,0.142,2.86,3000.0,0.77,1.372,4.6e-05,0.385,514000.0
16100.0,0.003,219.0,0.143,2.86,3000.0,0.77,1.421,4.6e-05,0.379,515000.0
16150.0,0.003,214.0,0.147,2.86,3000.0,0.77,1.285,4.6e-05,0.376,517000.0
16200.0,0.003,220.0,0.143,2.86,3000.0,0.77,1.472,4.5e-05,0.382,518000.0
16250.0,0.003,226.0,0.139,2.86,3000.0,0.78,1.383,4.5e-05,0.389,520000.0
16300.0,0.003,218.0,0.144,2.86,4000.0,0.78,1.441,4.5e-05,0.379,522000.0
16350.0,0.003,223.0,0.141,2.86,4000.0,0.78,1.372,4.5e-05,0.376,523000.0
16400.0,0.003,215.0,0.146,2.86,4000.0,0.78,1.346,4.4e-05,0.373,525000.0
16450.0,0.003,223.0,0.141,2.87,4000.0,0.79,1.378,4.4e-05,0.375,526000.0
16500.0,0.002,219.0,0.144,2.86,4000.0,0.79,1.447,4.4e-05,0.384,528000.0
16550.0,0.003,222.0,0.141,2.86,4000.0,0.79,1.373,4.3e-05,0.381,530000.0
16600.0,0.003,219.0,0.143,2.86,4000.0,0.79,1.431,4.3e-05,0.382,531000.0
16650.0,0.003,218.0,0.144,2.86,4000.0,0.8,1.341,4.3e-05,0.387,533000.0
16700.0,0.003,220.0,0.143,2.86,4000.0,0.8,1.318,4.3e-05,0.369,534000.0
16750.0,0.003,221.0,0.142,2.86,4000.0,0.8,1.369,4.2e-05,0.381,536000.0
16800.0,0.003,218.0,0.144,2.86,4000.0,0.8,1.381,4.2e-05,0.374,538000.0
16850.0,0.004,218.0,0.143,2.86,4000.0,0.81,1.395,4.2e-05,0.387,539000.0
16900.0,0.003,220.0,0.142,2.86,4000.0,0.81,1.344,4.2e-05,0.378,541000.0
16950.0,0.002,225.0,0.14,2.86,4000.0,0.81,1.383,4.1e-05,0.384,542000.0
17000.0,0.003,219.0,0.143,2.86,4000.0,0.81,1.364,4.1e-05,0.371,544000.0
17050.0,0.003,221.0,0.142,2.86,4000.0,0.82,1.403,4.1e-05,0.388,546000.0
17100.0,0.003,220.0,0.143,2.86,4000.0,0.82,1.443,4.1e-05,0.389,547000.0
17150.0,0.003,222.0,0.141,2.86,4000.0,0.82,1.384,4e-05,0.37,549000.0
17200.0,0.003,221.0,0.142,2.86,4000.0,0.82,1.332,4e-05,0.375,550000.0
17250.0,0.003,219.0,0.143,2.86,4000.0,0.83,1.365,4e-05,0.375,552000.0
17300.0,0.003,217.0,0.145,2.86,4000.0,0.83,1.439,4e-05,0.378,554000.0
17350.0,0.003,217.0,0.145,2.86,4000.0,0.83,1.429,3.9e-05,0.38,555000.0
17400.0,0.003,220.0,0.143,2.86,4000.0,0.83,1.404,3.9e-05,0.38,557000.0
17450.0,0.003,222.0,0.141,2.86,4000.0,0.83,1.392,3.9e-05,0.384,558000.0
17500.0,0.003,223.0,0.141,2.86,4000.0,0.84,1.373,3.9e-05,0.387,560000.0
17550.0,0.002,217.0,0.145,2.87,4000.0,0.84,1.27,3.9e-05,0.374,562000.0
17600.0,0.003,222.0,0.141,2.86,4000.0,0.84,1.337,3.8e-05,0.373,563000.0
17650.0,0.003,220.0,0.143,2.86,4000.0,0.84,1.374,3.8e-05,0.372,565000.0
17700.0,0.003,220.0,0.143,2.86,4000.0,0.85,1.431,3.8e-05,0.379,566000.0
17750.0,0.003,217.0,0.145,2.87,4000.0,0.85,1.359,3.8e-05,0.363,568000.0
17800.0,0.003,220.0,0.143,2.86,4000.0,0.85,1.381,3.7e-05,0.362,570000.0
17850.0,0.003,223.0,0.141,2.86,4000.0,0.85,1.335,3.7e-05,0.37,571000.0
17900.0,0.003,221.0,0.142,2.86,4000.0,0.86,1.292,3.7e-05,0.376,573000.0
17950.0,0.003,224.0,0.14,2.87,4000.0,0.86,1.392,3.7e-05,0.375,574000.0
18000.0,0.003,221.0,0.142,2.86,4000.0,0.86,1.334,3.6e-05,0.378,576000.0
18050.0,0.002,222.0,0.142,2.86,4000.0,0.86,1.426,3.6e-05,0.374,578000.0
18100.0,0.002,223.0,0.141,2.86,4000.0,0.87,1.315,3.6e-05,0.38,579000.0
18150.0,0.003,219.0,0.143,2.87,4000.0,0.87,1.323,3.6e-05,0.372,581000.0
18200.0,0.003,218.0,0.144,2.86,4000.0,0.87,1.436,3.5e-05,0.367,582000.0
18250.0,0.002,213.0,0.148,2.86,4000.0,0.87,1.344,3.5e-05,0.382,584000.0
18300.0,0.003,222.0,0.142,2.86,4000.0,0.88,1.374,3.5e-05,0.377,586000.0
18350.0,0.003,220.0,0.143,2.86,4000.0,0.88,1.28,3.5e-05,0.368,587000.0
18400.0,0.003,221.0,0.142,2.86,4000.0,0.88,1.258,3.4e-05,0.382,589000.0
18450.0,0.003,216.0,0.145,2.87,4000.0,0.88,1.399,3.4e-05,0.361,590000.0
18500.0,0.003,221.0,0.142,2.86,4000.0,0.88,1.372,3.4e-05,0.368,592000.0
18550.0,0.003,218.0,0.144,2.86,4000.0,0.89,1.365,3.4e-05,0.382,594000.0
18600.0,0.003,226.0,0.139,2.86,4000.0,0.89,1.341,3.3e-05,0.364,595000.0
18650.0,0.002,220.0,0.143,2.86,4000.0,0.89,1.376,3.3e-05,0.373,597000.0
18700.0,0.002,222.0,0.142,2.86,4000.0,0.89,1.322,3.3e-05,0.374,598000.0
18750.0,0.003,221.0,0.142,2.87,4000.0,0.9,1.312,3.3e-05,0.371,600000.0
18800.0,0.002,222.0,0.142,2.86,4000.0,0.9,1.318,3.2e-05,0.37,602000.0
18850.0,0.003,219.0,0.144,2.87,4000.0,0.9,1.41,3.2e-05,0.368,603000.0
18900.0,0.003,219.0,0.144,2.86,4000.0,0.9,1.316,3.2e-05,0.382,605000.0
18950.0,0.003,220.0,0.142,2.86,4000.0,0.91,1.386,3.2e-05,0.38,606000.0
19000.0,0.002,222.0,0.142,2.86,4000.0,0.91,1.293,3.2e-05,0.364,608000.0
19050.0,0.003,220.0,0.143,2.86,4000.0,0.91,1.301,3.1e-05,0.367,610000.0
19100.0,0.003,221.0,0.142,2.86,4000.0,0.91,1.295,3.1e-05,0.362,611000.0
19150.0,0.003,219.0,0.143,2.86,4000.0,0.92,1.353,3.1e-05,0.37,613000.0
19200.0,0.003,220.0,0.142,2.86,4000.0,0.92,1.382,3.1e-05,0.365,614000.0
19250.0,0.002,220.0,0.143,2.86,4000.0,0.92,1.323,3e-05,0.375,616000.0
19300.0,0.003,219.0,0.144,2.86,4000.0,0.92,1.28,3e-05,0.366,618000.0
19350.0,0.003,221.0,0.142,2.86,4000.0,0.93,1.325,3e-05,0.375,619000.0
19400.0,0.003,218.0,0.144,2.86,4000.0,0.93,1.36,3e-05,0.372,621000.0
19450.0,0.003,220.0,0.143,2.86,4000.0,0.93,1.321,2.9e-05,0.359,622000.0
19500.0,0.003,219.0,0.143,2.87,4000.0,0.93,1.353,2.9e-05,0.376,624000.0
19550.0,0.003,218.0,0.144,2.86,4000.0,0.94,1.384,2.9e-05,0.38,626000.0
19600.0,0.003,223.0,0.141,2.86,4000.0,0.94,1.341,2.9e-05,0.376,627000.0
19650.0,0.003,221.0,0.142,2.86,4000.0,0.94,1.342,2.9e-05,0.374,629000.0
19700.0,0.003,218.0,0.145,2.86,4000.0,0.94,1.331,2.8e-05,0.376,630000.0
19750.0,0.003,223.0,0.141,2.86,4000.0,0.94,1.378,2.8e-05,0.366,632000.0
19800.0,0.002,222.0,0.142,2.86,4000.0,0.95,1.315,2.8e-05,0.366,634000.0
19850.0,0.004,219.0,0.142,2.86,4000.0,0.95,1.238,2.8e-05,0.369,635000.0
19900.0,0.003,222.0,0.141,2.86,4000.0,0.95,1.262,2.7e-05,0.365,637000.0
19950.0,0.004,214.0,0.145,2.86,4000.0,0.95,1.289,2.7e-05,0.376,638000.0
20000.0,0.005,215.0,0.144,2.86,4000.0,0.96,1.356,2.7e-05,0.374,640000.0
20050.0,0.003,230.0,0.136,2.86,4000.0,0.96,1.316,2.7e-05,0.369,642000.0
20100.0,0.003,217.0,0.145,2.86,4000.0,0.96,1.271,2.7e-05,0.365,643000.0
20150.0,0.003,215.0,0.146,2.86,4000.0,0.96,1.318,2.6e-05,0.364,645000.0
20200.0,0.003,219.0,0.143,2.86,4000.0,0.97,1.298,2.6e-05,0.372,646000.0
20250.0,0.003,221.0,0.142,2.86,4000.0,0.97,1.308,2.6e-05,0.372,648000.0
20300.0,0.003,220.0,0.143,2.87,4000.0,0.97,1.331,2.6e-05,0.364,650000.0
20350.0,0.003,221.0,0.142,2.86,4000.0,0.97,1.311,2.5e-05,0.363,651000.0
20400.0,0.003,220.0,0.143,2.86,4000.0,0.98,1.281,2.5e-05,0.352,653000.0
20450.0,0.003,215.0,0.146,2.86,4000.0,0.98,1.379,2.5e-05,0.368,654000.0
20500.0,0.003,220.0,0.142,2.86,4000.0,0.98,1.29,2.5e-05,0.36,656000.0
20550.0,0.002,223.0,0.141,2.87,4000.0,0.98,1.378,2.5e-05,0.363,658000.0
20600.0,0.003,221.0,0.142,2.86,4000.0,0.99,1.334,2.4e-05,0.372,659000.0
20650.0,0.003,221.0,0.142,2.86,4000.0,0.99,1.307,2.4e-05,0.369,661000.0
20700.0,0.003,218.0,0.144,2.86,4000.0,0.99,1.265,2.4e-05,0.363,662000.0
20750.0,0.003,222.0,0.142,2.86,4000.0,0.99,1.349,2.4e-05,0.357,664000.0
20800.0,0.003,219.0,0.144,2.86,4000.0,0.99,1.285,2.4e-05,0.369,666000.0
20850.0,0.003,222.0,0.142,2.86,4000.0,1.0,1.297,2.3e-05,0.367,667000.0
20900.0,0.002,309.0,0.102,2.86,4000.0,1.0,1.337,2.3e-05,0.366,669000.0
20950.0,0.06,152.0,0.15,2.86,5000.0,1.0,1.263,2.3e-05,0.373,670000.0
21000.0,0.003,220.0,0.143,2.86,5000.0,1.0,1.279,2.3e-05,0.356,672000.0
21050.0,0.003,220.0,0.143,2.86,5000.0,1.01,1.279,2.2e-05,0.362,674000.0
21100.0,0.003,219.0,0.143,2.86,5000.0,1.01,1.274,2.2e-05,0.361,675000.0
21150.0,0.007,210.0,0.145,2.86,5000.0,1.01,1.31,2.2e-05,0.368,677000.0
21200.0,0.007,209.0,0.146,2.86,5000.0,1.01,1.244,2.2e-05,0.356,678000.0
21250.0,0.002,217.0,0.145,2.86,5000.0,1.02,1.303,2.2e-05,0.363,680000.0
21300.0,0.003,217.0,0.145,2.86,5000.0,1.02,1.364,2.1e-05,0.37,682000.0
21350.0,0.003,223.0,0.141,2.86,5000.0,1.02,1.365,2.1e-05,0.368,683000.0
21400.0,0.003,218.0,0.144,2.86,5000.0,1.02,1.256,2.1e-05,0.362,685000.0
21450.0,0.003,220.0,0.143,2.86,5000.0,1.03,1.397,2.1e-05,0.369,686000.0
21500.0,0.003,221.0,0.142,2.86,5000.0,1.03,1.264,2.1e-05,0.361,688000.0
21550.0,0.003,219.0,0.144,2.86,5000.0,1.03,1.323,2e-05,0.365,690000.0
21600.0,0.004,212.0,0.147,2.86,5000.0,1.03,1.253,2e-05,0.358,691000.0
21650.0,0.01,204.0,0.148,2.86,5000.0,1.04,1.356,2e-05,0.359,693000.0
21700.0,0.008,207.0,0.147,2.86,5000.0,1.04,1.279,2e-05,0.356,694000.0
21750.0,0.008,207.0,0.147,2.86,5000.0,1.04,1.254,2e-05,0.358,696000.0
21800.0,0.009,205.0,0.147,2.86,5000.0,1.04,1.313,1.9e-05,0.372,698000.0
21850.0,0.003,218.0,0.144,2.86,5000.0,1.05,1.289,1.9e-05,0.367,699000.0
21900.0,0.003,217.0,0.145,2.86,5000.0,1.05,1.289,1.9e-05,0.356,701000.0
21950.0,0.003,222.0,0.142,2.87,5000.0,1.05,1.279,1.9e-05,0.358,702000.0
22000.0,0.003,217.0,0.145,2.86,5000.0,1.05,1.348,1.9e-05,0.365,704000.0
22050.0,0.012,199.0,0.149,2.86,5000.0,1.05,1.338,1.9e-05,0.371,706000.0
22100.0,0.006,212.0,0.145,2.86,5000.0,1.06,1.301,1.8e-05,0.363,707000.0
22150.0,0.003,220.0,0.142,2.86,5000.0,1.06,1.306,1.8e-05,0.366,709000.0
22200.0,0.003,217.0,0.145,2.87,5000.0,1.06,1.254,1.8e-05,0.368,710000.0
22250.0,0.003,222.0,0.141,2.86,5000.0,1.06,1.317,1.8e-05,0.365,712000.0
22300.0,0.003,216.0,0.145,2.86,5000.0,1.07,1.386,1.8e-05,0.361,714000.0
22350.0,0.005,211.0,0.146,2.86,5000.0,1.07,1.226,1.7e-05,0.361,715000.0
22400.0,0.003,220.0,0.142,2.86,5000.0,1.07,1.286,1.7e-05,0.363,717000.0
22450.0,0.003,219.0,0.143,2.86,5000.0,1.07,1.32,1.7e-05,0.371,718000.0
22500.0,0.003,220.0,0.143,2.86,5000.0,1.08,1.287,1.7e-05,0.355,720000.0
22550.0,0.003,216.0,0.145,2.86,5000.0,1.08,1.302,1.7e-05,0.373,722000.0
22600.0,0.002,223.0,0.141,2.86,5000.0,1.08,1.266,1.7e-05,0.355,723000.0
22650.0,0.006,209.0,0.147,2.86,5000.0,1.08,1.264,1.6e-05,0.37,725000.0
22700.0,0.003,218.0,0.144,2.86,5000.0,1.09,1.276,1.6e-05,0.363,726000.0
22750.0,0.003,219.0,0.143,2.86,5000.0,1.09,1.286,1.6e-05,0.36,728000.0
22800.0,0.003,222.0,0.141,2.86,5000.0,1.09,1.285,1.6e-05,0.359,730000.0
22850.0,0.003,218.0,0.144,2.86,5000.0,1.09,1.289,1.6e-05,0.365,731000.0
22900.0,0.002,219.0,0.144,2.86,5000.0,1.1,1.301,1.5e-05,0.359,733000.0
22950.0,0.003,222.0,0.141,2.87,5000.0,1.1,1.359,1.5e-05,0.362,734000.0
23000.0,0.003,220.0,0.143,2.86,5000.0,1.1,1.293,1.5e-05,0.358,736000.0
23050.0,0.003,219.0,0.144,2.86,5000.0,1.1,1.327,1.5e-05,0.367,738000.0
23100.0,0.003,221.0,0.142,2.86,5000.0,1.1,1.315,1.5e-05,0.358,739000.0
23150.0,0.006,212.0,0.145,2.86,5000.0,1.11,1.277,1.5e-05,0.364,741000.0
23200.0,0.004,216.0,0.144,2.86,5000.0,1.11,1.3,1.4e-05,0.371,742000.0
23250.0,0.007,210.0,0.145,2.86,5000.0,1.11,1.3,1.4e-05,0.358,744000.0
23300.0,0.004,219.0,0.142,2.86,5000.0,1.11,1.305,1.4e-05,0.367,746000.0
23350.0,0.003,217.0,0.144,2.86,5000.0,1.12,1.227,1.4e-05,0.365,747000.0
23400.0,0.004,218.0,0.142,2.86,5000.0,1.12,1.305,1.4e-05,0.364,749000.0
23450.0,0.012,197.0,0.15,2.86,5000.0,1.12,1.249,1.4e-05,0.367,750000.0
23500.0,0.003,223.0,0.141,2.86,5000.0,1.12,1.336,1.3e-05,0.363,752000.0
23550.0,0.002,225.0,0.14,2.86,5000.0,1.13,1.324,1.3e-05,0.364,754000.0
23600.0,0.003,218.0,0.144,2.86,5000.0,1.13,1.304,1.3e-05,0.357,755000.0
23650.0,0.003,220.0,0.143,2.87,5000.0,1.13,1.239,1.3e-05,0.373,757000.0
23700.0,0.003,219.0,0.144,2.86,5000.0,1.13,1.259,1.3e-05,0.358,758000.0
23750.0,0.009,204.0,0.147,2.86,5000.0,1.14,1.243,1.3e-05,0.36,760000.0
23800.0,0.003,219.0,0.143,2.86,5000.0,1.14,1.218,1.2e-05,0.366,762000.0
23850.0,0.003,217.0,0.145,2.86,5000.0,1.14,1.242,1.2e-05,0.354,763000.0
23900.0,0.003,222.0,0.141,2.86,5000.0,1.14,1.305,1.2e-05,0.367,765000.0
23950.0,0.002,224.0,0.141,2.86,5000.0,1.15,1.322,1.2e-05,0.372,766000.0
24000.0,0.003,220.0,0.143,2.86,5000.0,1.15,1.255,1.2e-05,0.354,768000.0
24050.0,0.003,218.0,0.144,2.86,5000.0,1.15,1.266,1.2e-05,0.357,770000.0
24100.0,0.002,221.0,0.142,2.87,5000.0,1.15,1.256,1.2e-05,0.362,771000.0
24150.0,0.003,222.0,0.142,2.86,5000.0,1.16,1.307,1.1e-05,0.358,773000.0
24200.0,0.003,219.0,0.143,2.87,5000.0,1.16,1.321,1.1e-05,0.356,774000.0
24250.0,0.003,220.0,0.143,2.86,5000.0,1.16,1.26,1.1e-05,0.364,776000.0
24300.0,0.003,223.0,0.141,2.86,5000.0,1.16,1.278,1.1e-05,0.353,778000.0
24350.0,0.003,219.0,0.144,2.86,5000.0,1.16,1.271,1.1e-05,0.369,779000.0
24400.0,0.003,214.0,0.147,2.86,5000.0,1.17,1.315,1.1e-05,0.364,781000.0
24450.0,0.003,219.0,0.143,2.86,5000.0,1.17,1.263,1.1e-05,0.358,782000.0
24500.0,0.003,218.0,0.144,2.87,5000.0,1.17,1.282,1e-05,0.362,784000.0
24550.0,0.003,217.0,0.145,2.86,5000.0,1.17,1.257,1e-05,0.366,786000.0
24600.0,0.002,220.0,0.143,2.86,5000.0,1.18,1.252,1e-05,0.357,787000.0
24650.0,0.003,223.0,0.141,2.86,5000.0,1.18,1.219,1e-05,0.365,789000.0
24700.0,0.003,221.0,0.142,2.86,5000.0,1.18,1.28,9.9e-06,0.363,790000.0
24750.0,0.003,220.0,0.143,2.86,5000.0,1.18,1.262,9.7e-06,0.359,792000.0
24800.0,0.003,221.0,0.142,2.87,5000.0,1.19,1.234,9.6e-06,0.351,794000.0
24850.0,0.003,222.0,0.141,2.87,5000.0,1.19,1.288,9.5e-06,0.357,795000.0
24900.0,0.003,220.0,0.142,2.86,5000.0,1.19,1.263,9.4e-06,0.352,797000.0
24950.0,0.003,216.0,0.145,2.86,5000.0,1.19,1.271,9.2e-06,0.352,798000.0
25000.0,0.003,215.0,0.146,2.86,5000.0,1.2,1.261,9.1e-06,0.363,800000.0
25050.0,0.002,231.0,0.136,2.86,5000.0,1.2,1.231,9e-06,0.358,802000.0
25100.0,0.003,220.0,0.142,2.86,5000.0,1.2,1.212,8.8e-06,0.355,803000.0
25150.0,0.003,219.0,0.143,2.86,5000.0,1.2,1.238,8.7e-06,0.35,805000.0
25200.0,0.003,223.0,0.141,2.86,5000.0,1.21,1.302,8.6e-06,0.366,806000.0
25250.0,0.003,213.0,0.148,2.87,5000.0,1.21,1.284,8.5e-06,0.359,808000.0
25300.0,0.003,223.0,0.141,2.86,5000.0,1.21,1.235,8.3e-06,0.36,810000.0
25350.0,0.003,215.0,0.146,2.86,5000.0,1.21,1.309,8.2e-06,0.37,811000.0
25400.0,0.003,219.0,0.143,2.87,5000.0,1.21,1.221,8.1e-06,0.361,813000.0
25450.0,0.003,220.0,0.143,2.86,5000.0,1.22,1.273,8e-06,0.365,814000.0
25500.0,0.004,219.0,0.142,2.86,5000.0,1.22,1.267,7.9e-06,0.361,816000.0
25550.0,0.003,218.0,0.143,2.86,5000.0,1.22,1.266,7.8e-06,0.356,818000.0
25600.0,0.003,219.0,0.143,2.86,6000.0,1.22,1.254,7.6e-06,0.36,819000.0
25650.0,0.002,219.0,0.143,2.86,6000.0,1.23,1.261,7.5e-06,0.358,821000.0
25700.0,0.002,224.0,0.14,2.86,6000.0,1.23,1.273,7.4e-06,0.364,822000.0
25750.0,0.003,221.0,0.142,2.86,6000.0,1.23,1.245,7.3e-06,0.349,824000.0
25800.0,0.003,218.0,0.144,2.87,6000.0,1.23,1.262,7.2e-06,0.363,826000.0
25850.0,0.003,212.0,0.148,2.86,6000.0,1.24,1.308,7.1e-06,0.356,827000.0
25900.0,0.003,224.0,0.14,2.86,6000.0,1.24,1.275,7e-06,0.362,829000.0
25950.0,0.003,219.0,0.143,2.86,6000.0,1.24,1.231,6.9e-06,0.359,830000.0
26000.0,0.003,223.0,0.141,2.86,6000.0,1.24,1.318,6.8e-06,0.366,832000.0
26050.0,0.003,221.0,0.142,2.86,6000.0,1.25,1.237,6.7e-06,0.358,834000.0
26100.0,0.003,219.0,0.143,2.86,6000.0,1.25,1.266,6.6e-06,0.36,835000.0
26150.0,0.003,221.0,0.142,2.86,6000.0,1.25,1.309,6.5e-06,0.368,837000.0
26200.0,0.003,219.0,0.143,2.86,6000.0,1.25,1.241,6.4e-06,0.357,838000.0
26250.0,0.003,217.0,0.145,2.87,6000.0,1.26,1.255,6.3e-06,0.351,840000.0
26300.0,0.003,224.0,0.141,2.86,6000.0,1.26,1.295,6.2e-06,0.362,842000.0
26350.0,0.003,221.0,0.142,2.86,6000.0,1.26,1.285,6.1e-06,0.362,843000.0
26400.0,0.003,221.0,0.142,2.86,6000.0,1.26,1.279,6e-06,0.365,845000.0
26450.0,0.003,221.0,0.142,2.86,6000.0,1.27,1.292,5.9e-06,0.358,846000.0
26500.0,0.003,219.0,0.144,2.86,6000.0,1.27,1.296,5.8e-06,0.369,848000.0
26550.0,0.003,221.0,0.142,2.86,6000.0,1.27,1.28,5.7e-06,0.369,850000.0
26600.0,0.003,220.0,0.143,2.86,6000.0,1.27,1.255,5.6e-06,0.362,851000.0
26650.0,0.003,220.0,0.143,2.86,6000.0,1.27,1.334,5.5e-06,0.368,853000.0
26700.0,0.003,219.0,0.144,2.86,6000.0,1.28,1.296,5.4e-06,0.371,854000.0
26750.0,0.002,217.0,0.145,2.86,6000.0,1.28,1.261,5.3e-06,0.358,856000.0
26800.0,0.003,223.0,0.141,2.86,6000.0,1.28,1.299,5.3e-06,0.361,858000.0
26850.0,0.003,217.0,0.145,2.86,6000.0,1.28,1.262,5.2e-06,0.356,859000.0
26900.0,0.002,221.0,0.143,2.86,6000.0,1.29,1.332,5.1e-06,0.361,861000.0
26950.0,0.003,220.0,0.143,2.86,6000.0,1.29,1.259,5e-06,0.363,862000.0
27000.0,0.003,222.0,0.141,2.86,6000.0,1.29,1.3,4.9e-06,0.353,864000.0
27050.0,0.003,220.0,0.142,2.86,6000.0,1.29,1.265,4.8e-06,0.358,866000.0
27100.0,0.003,221.0,0.143,2.87,6000.0,1.3,1.234,4.8e-06,0.353,867000.0
27150.0,0.003,218.0,0.144,2.86,6000.0,1.3,1.308,4.7e-06,0.359,869000.0
27200.0,0.002,220.0,0.143,2.87,6000.0,1.3,1.354,4.6e-06,0.363,870000.0
27250.0,0.003,221.0,0.142,2.86,6000.0,1.3,1.25,4.5e-06,0.356,872000.0
27300.0,0.003,220.0,0.143,2.86,6000.0,1.31,1.312,4.5e-06,0.375,874000.0
27350.0,0.003,217.0,0.145,2.86,6000.0,1.31,1.299,4.4e-06,0.354,875000.0
27400.0,0.003,220.0,0.143,2.86,6000.0,1.31,1.263,4.3e-06,0.361,877000.0
27450.0,0.003,220.0,0.143,2.86,6000.0,1.31,1.242,4.3e-06,0.36,878000.0
27500.0,0.003,220.0,0.143,2.87,6000.0,1.32,1.226,4.2e-06,0.35,880000.0
27550.0,0.003,218.0,0.144,2.86,6000.0,1.32,1.286,4.1e-06,0.351,882000.0
27600.0,0.002,224.0,0.14,2.86,6000.0,1.32,1.267,4.1e-06,0.364,883000.0
27650.0,0.003,223.0,0.141,2.86,6000.0,1.32,1.338,4e-06,0.353,885000.0
27700.0,0.002,219.0,0.143,2.86,6000.0,1.32,1.201,3.9e-06,0.356,886000.0
